"22.04 10:54:03,010|" initCMEM hat status: input: RemTime: 4000, Datei: 'cmem.log'. 
"22.04 10:54:53,102|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:53,413|" getClientNNr hat status: input: ClientId: <7602.88.0>. 
"22.04 10:54:53,413|" getClient hat status: Client gefunden. 
"22.04 10:54:53,413|" clientIsValid hat status: input: ClientSecs: 851287, RemTime: 4000. 
"22.04 10:54:53,413|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:53,413|" getClientNNr hat status: ClientIsValid: {<7602.88.0>,{1492,851287,923000},0}. 
"22.04 10:54:53,413|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:53,429|" updateClient hat status: input: ClientId: <7602.88.0>, NNr: 557. 
"22.04 10:54:53,429|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:53,679|" getClientNNr hat status: input: ClientId: <7602.95.0>. 
"22.04 10:54:53,679|" getClient hat status: Client gefunden. 
"22.04 10:54:53,679|" clientIsValid hat status: input: ClientSecs: 851288, RemTime: 4000. 
"22.04 10:54:53,679|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:53,679|" getClientNNr hat status: ClientIsValid: {<7602.95.0>,{1492,851288,282000},0}. 
"22.04 10:54:53,679|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:53,944|" updateClient hat status: input: ClientId: <7602.95.0>, NNr: 557. 
"22.04 10:54:53,944|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:54,536|" getClientNNr hat status: input: ClientId: <7602.91.0>. 
"22.04 10:54:54,536|" getClient hat status: Client gefunden. 
"22.04 10:54:54,536|" clientIsValid hat status: input: ClientSecs: 851288, RemTime: 4000. 
"22.04 10:54:54,536|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:54,536|" getClientNNr hat status: ClientIsValid: {<7602.91.0>,{1492,851288,640000},0}. 
"22.04 10:54:54,536|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:54,552|" updateClient hat status: input: ClientId: <7602.91.0>, NNr: 557. 
"22.04 10:54:54,552|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:54,600|" getClientNNr hat status: input: ClientId: <7602.89.0>. 
"22.04 10:54:54,600|" getClient hat status: Client gefunden. 
"22.04 10:54:54,600|" clientIsValid hat status: input: ClientSecs: 851288, RemTime: 4000. 
"22.04 10:54:54,600|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:54,600|" getClientNNr hat status: ClientIsValid: {<7602.89.0>,{1492,851288,687000},0}. 
"22.04 10:54:54,600|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:54,615|" updateClient hat status: input: ClientId: <7602.89.0>, NNr: 557. 
"22.04 10:54:54,615|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,068|" getClientNNr hat status: input: ClientId: <7602.106.0>. 
"22.04 10:54:55,068|" getClient hat status: Client gefunden. 
"22.04 10:54:55,068|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,068|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,068|" getClientNNr hat status: ClientIsValid: {<7602.106.0>,{1492,851289,327000},0}. 
"22.04 10:54:55,068|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,099|" updateClient hat status: input: ClientId: <7602.106.0>, NNr: 569. 
"22.04 10:54:55,099|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,099|" getClientNNr hat status: input: ClientId: <7602.99.0>. 
"22.04 10:54:55,099|" getClient hat status: Client gefunden. 
"22.04 10:54:55,099|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,099|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,099|" getClientNNr hat status: ClientIsValid: {<7602.99.0>,{1492,851289,358000},0}. 
"22.04 10:54:55,099|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,114|" updateClient hat status: input: ClientId: <7602.99.0>, NNr: 569. 
"22.04 10:54:55,114|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,129|" getClientNNr hat status: input: ClientId: <7602.96.0>. 
"22.04 10:54:55,129|" getClient hat status: Client gefunden. 
"22.04 10:54:55,129|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,129|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,129|" getClientNNr hat status: ClientIsValid: {<7602.96.0>,{1492,851289,374000},0}. 
"22.04 10:54:55,129|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,145|" updateClient hat status: input: ClientId: <7602.96.0>, NNr: 569. 
"22.04 10:54:55,145|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,177|" getClientNNr hat status: input: ClientId: <7602.102.0>. 
"22.04 10:54:55,177|" getClient hat status: Client gefunden. 
"22.04 10:54:55,177|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,177|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,177|" getClientNNr hat status: ClientIsValid: {<7602.102.0>,{1492,851289,420000},0}. 
"22.04 10:54:55,177|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,191|" updateClient hat status: input: ClientId: <7602.102.0>, NNr: 569. 
"22.04 10:54:55,191|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,208|" getClientNNr hat status: input: ClientId: <7602.90.0>. 
"22.04 10:54:55,208|" getClient hat status: Client gefunden. 
"22.04 10:54:55,208|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,208|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,208|" getClientNNr hat status: ClientIsValid: {<7602.90.0>,{1492,851289,420000},0}. 
"22.04 10:54:55,208|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,224|" updateClient hat status: input: ClientId: <7602.90.0>, NNr: 569. 
"22.04 10:54:55,224|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,238|" getClientNNr hat status: input: ClientId: <7602.103.0>. 
"22.04 10:54:55,238|" getClient hat status: Client gefunden. 
"22.04 10:54:55,238|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,238|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,238|" getClientNNr hat status: ClientIsValid: {<7602.103.0>,{1492,851289,436000},0}. 
"22.04 10:54:55,238|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,238|" updateClient hat status: input: ClientId: <7602.103.0>, NNr: 569. 
"22.04 10:54:55,238|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,347|" getClientNNr hat status: input: ClientId: <7602.100.0>. 
"22.04 10:54:55,347|" getClient hat status: Client gefunden. 
"22.04 10:54:55,347|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,347|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,347|" getClientNNr hat status: ClientIsValid: {<7602.100.0>,{1492,851289,561000},0}. 
"22.04 10:54:55,347|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,363|" updateClient hat status: input: ClientId: <7602.100.0>, NNr: 577. 
"22.04 10:54:55,363|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,379|" getClientNNr hat status: input: ClientId: <7602.97.0>. 
"22.04 10:54:55,379|" getClient hat status: Client gefunden. 
"22.04 10:54:55,379|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,379|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,379|" getClientNNr hat status: ClientIsValid: {<7602.97.0>,{1492,851289,592000},0}. 
"22.04 10:54:55,379|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,395|" updateClient hat status: input: ClientId: <7602.97.0>, NNr: 577. 
"22.04 10:54:55,395|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,458|" getClientNNr hat status: input: ClientId: <7602.104.0>. 
"22.04 10:54:55,458|" getClient hat status: Client gefunden. 
"22.04 10:54:55,458|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,458|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,458|" getClientNNr hat status: ClientIsValid: {<7602.104.0>,{1492,851289,654000},0}. 
"22.04 10:54:55,458|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,488|" updateClient hat status: input: ClientId: <7602.104.0>, NNr: 577. 
"22.04 10:54:55,488|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,536|" getClientNNr hat status: input: ClientId: <7602.92.0>. 
"22.04 10:54:55,536|" getClient hat status: Client gefunden. 
"22.04 10:54:55,536|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,536|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,536|" getClientNNr hat status: ClientIsValid: {<7602.92.0>,{1492,851289,764000},0}. 
"22.04 10:54:55,536|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,551|" updateClient hat status: input: ClientId: <7602.92.0>, NNr: 577. 
"22.04 10:54:55,551|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,566|" getClientNNr hat status: input: ClientId: <7602.93.0>. 
"22.04 10:54:55,566|" getClient hat status: Client gefunden. 
"22.04 10:54:55,566|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,566|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,566|" getClientNNr hat status: ClientIsValid: {<7602.93.0>,{1492,851289,795000},0}. 
"22.04 10:54:55,566|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,581|" updateClient hat status: input: ClientId: <7602.93.0>, NNr: 577. 
"22.04 10:54:55,581|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,629|" getClientNNr hat status: input: ClientId: <7602.108.0>. 
"22.04 10:54:55,629|" getClient hat status: Client gefunden. 
"22.04 10:54:55,629|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,629|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,629|" getClientNNr hat status: ClientIsValid: {<7602.108.0>,{1492,851289,842000},0}. 
"22.04 10:54:55,629|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,660|" updateClient hat status: input: ClientId: <7602.108.0>, NNr: 587. 
"22.04 10:54:55,660|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:55,691|" getClientNNr hat status: input: ClientId: <7602.107.0>. 
"22.04 10:54:55,691|" getClient hat status: Client gefunden. 
"22.04 10:54:55,691|" clientIsValid hat status: input: ClientSecs: 851289, RemTime: 4000. 
"22.04 10:54:55,691|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:55,691|" getClientNNr hat status: ClientIsValid: {<7602.107.0>,{1492,851289,904000},0}. 
"22.04 10:54:55,691|" getClientNNr hat status: ExpectedNNR Result: 1. 
"22.04 10:54:55,706|" updateClient hat status: input: ClientId: <7602.107.0>, NNr: 587. 
"22.04 10:54:55,706|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:56,955|" getClientNNr hat status: input: ClientId: <7602.83.0>. 
"22.04 10:54:56,955|" getClient hat status: Client gefunden. 
"22.04 10:54:56,955|" clientIsValid hat status: input: ClientSecs: 851291, RemTime: 4000. 
"22.04 10:54:56,955|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:56,955|" getClientNNr hat status: ClientIsValid: {<7602.83.0>,{1492,851291,526000},484}. 
"22.04 10:54:56,955|" getClientNNr hat status: ExpectedNNR Result: 485. 
"22.04 10:54:56,971|" updateClient hat status: input: ClientId: <7602.83.0>, NNr: 0. 
"22.04 10:54:56,971|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:57,361|" getClientNNr hat status: input: ClientId: <7602.87.0>. 
"22.04 10:54:57,361|" getClient hat status: Client gefunden. 
"22.04 10:54:57,361|" clientIsValid hat status: input: ClientSecs: 851291, RemTime: 4000. 
"22.04 10:54:57,361|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:57,361|" getClientNNr hat status: ClientIsValid: {<7602.87.0>,{1492,851291,916000},500}. 
"22.04 10:54:57,361|" getClientNNr hat status: ExpectedNNR Result: 501. 
"22.04 10:54:57,687|" updateClient hat status: input: ClientId: <7602.87.0>, NNr: 0. 
"22.04 10:54:57,687|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:57,720|" getClientNNr hat status: input: ClientId: <7602.81.0>. 
"22.04 10:54:57,720|" getClient hat status: Client gefunden. 
"22.04 10:54:57,720|" clientIsValid hat status: input: ClientSecs: 851291, RemTime: 4000. 
"22.04 10:54:57,720|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:57,720|" getClientNNr hat status: ClientIsValid: {<7602.81.0>,{1492,851291,979000},500}. 
"22.04 10:54:57,720|" getClientNNr hat status: ExpectedNNR Result: 501. 
"22.04 10:54:57,734|" updateClient hat status: input: ClientId: <7602.81.0>, NNr: 0. 
"22.04 10:54:57,734|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:57,984|" getClientNNr hat status: input: ClientId: <7602.84.0>. 
"22.04 10:54:57,984|" getClient hat status: Client gefunden. 
"22.04 10:54:57,984|" clientIsValid hat status: input: ClientSecs: 851292, RemTime: 4000. 
"22.04 10:54:57,984|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:57,984|" getClientNNr hat status: ClientIsValid: {<7602.84.0>,{1492,851292,166000},502}. 
"22.04 10:54:57,984|" getClientNNr hat status: ExpectedNNR Result: 503. 
"22.04 10:54:58,000|" updateClient hat status: input: ClientId: <7602.84.0>, NNr: 0. 
"22.04 10:54:58,000|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:58,203|" getClientNNr hat status: input: ClientId: <7602.80.0>. 
"22.04 10:54:58,203|" getClient hat status: Client gefunden. 
"22.04 10:54:58,203|" clientIsValid hat status: input: ClientSecs: 851292, RemTime: 4000. 
"22.04 10:54:58,203|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:58,203|" getClientNNr hat status: ClientIsValid: {<7602.80.0>,{1492,851292,806000},516}. 
"22.04 10:54:58,203|" getClientNNr hat status: ExpectedNNR Result: 517. 
"22.04 10:54:58,219|" updateClient hat status: input: ClientId: <7602.80.0>, NNr: 0. 
"22.04 10:54:58,219|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:58,406|" getClientNNr hat status: input: ClientId: <7602.79.0>. 
"22.04 10:54:58,406|" getClient hat status: Client gefunden. 
"22.04 10:54:58,406|" clientIsValid hat status: input: ClientSecs: 851292, RemTime: 4000. 
"22.04 10:54:58,406|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:58,406|" getClientNNr hat status: ClientIsValid: {<7602.79.0>,{1492,851292,868000},557}. 
"22.04 10:54:58,406|" getClientNNr hat status: ExpectedNNR Result: 558. 
"22.04 10:54:58,437|" updateClient hat status: input: ClientId: <7602.79.0>, NNr: 0. 
"22.04 10:54:58,437|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:58,515|" getClientNNr hat status: input: ClientId: <7602.82.0>. 
"22.04 10:54:58,515|" getClient hat status: Client gefunden. 
"22.04 10:54:58,515|" clientIsValid hat status: input: ClientSecs: 851292, RemTime: 4000. 
"22.04 10:54:58,515|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:58,515|" getClientNNr hat status: ClientIsValid: {<7602.82.0>,{1492,851292,930000},557}. 
"22.04 10:54:58,515|" getClientNNr hat status: ExpectedNNR Result: 558. 
"22.04 10:54:58,531|" updateClient hat status: input: ClientId: <7602.82.0>, NNr: 0. 
"22.04 10:54:58,531|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:58,718|" getClientNNr hat status: input: ClientId: <7602.86.0>. 
"22.04 10:54:58,718|" getClient hat status: Client gefunden. 
"22.04 10:54:58,718|" clientIsValid hat status: input: ClientSecs: 851293, RemTime: 4000. 
"22.04 10:54:58,718|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:58,718|" getClientNNr hat status: ClientIsValid: {<7602.86.0>,{1492,851293,102000},557}. 
"22.04 10:54:58,718|" getClientNNr hat status: ExpectedNNR Result: 558. 
"22.04 10:54:58,734|" updateClient hat status: input: ClientId: <7602.86.0>, NNr: 0. 
"22.04 10:54:58,734|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:59,077|" getClientNNr hat status: input: ClientId: <7602.88.0>. 
"22.04 10:54:59,077|" getClient hat status: Client gefunden. 
"22.04 10:54:59,077|" clientIsValid hat status: input: ClientSecs: 851293, RemTime: 4000. 
"22.04 10:54:59,077|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:59,077|" getClientNNr hat status: ClientIsValid: {<7602.88.0>,{1492,851293,430000},557}. 
"22.04 10:54:59,077|" getClientNNr hat status: ExpectedNNR Result: 558. 
"22.04 10:54:59,077|" updateClient hat status: input: ClientId: <7602.88.0>, NNr: 0. 
"22.04 10:54:59,077|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:59,310|" getClientNNr hat status: input: ClientId: <7602.95.0>. 
"22.04 10:54:59,310|" getClient hat status: Client gefunden. 
"22.04 10:54:59,310|" clientIsValid hat status: input: ClientSecs: 851293, RemTime: 4000. 
"22.04 10:54:59,310|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:59,310|" getClientNNr hat status: ClientIsValid: {<7602.95.0>,{1492,851293,944000},557}. 
"22.04 10:54:59,310|" getClientNNr hat status: ExpectedNNR Result: 558. 
"22.04 10:54:59,389|" updateClient hat status: input: ClientId: <7602.95.0>, NNr: 0. 
"22.04 10:54:59,389|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:59,857|" getClientNNr hat status: input: ClientId: <7602.91.0>. 
"22.04 10:54:59,857|" getClient hat status: Client gefunden. 
"22.04 10:54:59,857|" clientIsValid hat status: input: ClientSecs: 851294, RemTime: 4000. 
"22.04 10:54:59,857|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:59,857|" getClientNNr hat status: ClientIsValid: {<7602.91.0>,{1492,851294,553000},557}. 
"22.04 10:54:59,857|" getClientNNr hat status: ExpectedNNR Result: 558. 
"22.04 10:54:59,857|" updateClient hat status: input: ClientId: <7602.91.0>, NNr: 0. 
"22.04 10:54:59,857|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:54:59,887|" getClientNNr hat status: input: ClientId: <7602.89.0>. 
"22.04 10:54:59,887|" getClient hat status: Client gefunden. 
"22.04 10:54:59,887|" clientIsValid hat status: input: ClientSecs: 851294, RemTime: 4000. 
"22.04 10:54:59,887|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:54:59,887|" getClientNNr hat status: ClientIsValid: {<7602.89.0>,{1492,851294,615000},557}. 
"22.04 10:54:59,887|" getClientNNr hat status: ExpectedNNR Result: 558. 
"22.04 10:54:59,903|" updateClient hat status: input: ClientId: <7602.89.0>, NNr: 0. 
"22.04 10:54:59,903|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,308|" getClientNNr hat status: input: ClientId: <7602.96.0>. 
"22.04 10:55:00,308|" getClient hat status: Client gefunden. 
"22.04 10:55:00,308|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,308|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,308|" getClientNNr hat status: ClientIsValid: {<7602.96.0>,{1492,851295,146000},569}. 
"22.04 10:55:00,308|" getClientNNr hat status: ExpectedNNR Result: 570. 
"22.04 10:55:00,325|" updateClient hat status: input: ClientId: <7602.96.0>, NNr: 0. 
"22.04 10:55:00,325|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,340|" getClientNNr hat status: input: ClientId: <7602.99.0>. 
"22.04 10:55:00,340|" getClient hat status: Client gefunden. 
"22.04 10:55:00,340|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,340|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,340|" getClientNNr hat status: ClientIsValid: {<7602.99.0>,{1492,851295,114000},569}. 
"22.04 10:55:00,340|" getClientNNr hat status: ExpectedNNR Result: 570. 
"22.04 10:55:00,340|" updateClient hat status: input: ClientId: <7602.99.0>, NNr: 0. 
"22.04 10:55:00,340|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,387|" getClientNNr hat status: input: ClientId: <7602.106.0>. 
"22.04 10:55:00,387|" getClient hat status: Client gefunden. 
"22.04 10:55:00,387|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,387|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,387|" getClientNNr hat status: ClientIsValid: {<7602.106.0>,{1492,851295,99000},569}. 
"22.04 10:55:00,387|" getClientNNr hat status: ExpectedNNR Result: 570. 
"22.04 10:55:00,403|" updateClient hat status: input: ClientId: <7602.106.0>, NNr: 0. 
"22.04 10:55:00,403|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,417|" getClientNNr hat status: input: ClientId: <7602.102.0>. 
"22.04 10:55:00,417|" getClient hat status: Client gefunden. 
"22.04 10:55:00,417|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,417|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,417|" getClientNNr hat status: ClientIsValid: {<7602.102.0>,{1492,851295,192000},569}. 
"22.04 10:55:00,417|" getClientNNr hat status: ExpectedNNR Result: 570. 
"22.04 10:55:00,433|" updateClient hat status: input: ClientId: <7602.102.0>, NNr: 0. 
"22.04 10:55:00,433|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,450|" getClientNNr hat status: input: ClientId: <7602.90.0>. 
"22.04 10:55:00,450|" getClient hat status: Client gefunden. 
"22.04 10:55:00,450|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,450|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,450|" getClientNNr hat status: ClientIsValid: {<7602.90.0>,{1492,851295,224000},569}. 
"22.04 10:55:00,450|" getClientNNr hat status: ExpectedNNR Result: 570. 
"22.04 10:55:00,465|" updateClient hat status: input: ClientId: <7602.90.0>, NNr: 0. 
"22.04 10:55:00,465|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,480|" getClientNNr hat status: input: ClientId: <7602.103.0>. 
"22.04 10:55:00,480|" getClient hat status: Client gefunden. 
"22.04 10:55:00,480|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,480|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,480|" getClientNNr hat status: ClientIsValid: {<7602.103.0>,{1492,851295,239000},569}. 
"22.04 10:55:00,480|" getClientNNr hat status: ExpectedNNR Result: 570. 
"22.04 10:55:00,496|" updateClient hat status: input: ClientId: <7602.103.0>, NNr: 0. 
"22.04 10:55:00,496|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,621|" getClientNNr hat status: input: ClientId: <7602.100.0>. 
"22.04 10:55:00,621|" getClient hat status: Client gefunden. 
"22.04 10:55:00,621|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,621|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,621|" getClientNNr hat status: ClientIsValid: {<7602.100.0>,{1492,851295,364000},577}. 
"22.04 10:55:00,621|" getClientNNr hat status: ExpectedNNR Result: 578. 
"22.04 10:55:00,621|" updateClient hat status: input: ClientId: <7602.100.0>, NNr: 0. 
"22.04 10:55:00,621|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,637|" getClientNNr hat status: input: ClientId: <7602.97.0>. 
"22.04 10:55:00,637|" getClient hat status: Client gefunden. 
"22.04 10:55:00,637|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,637|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,637|" getClientNNr hat status: ClientIsValid: {<7602.97.0>,{1492,851295,395000},577}. 
"22.04 10:55:00,637|" getClientNNr hat status: ExpectedNNR Result: 578. 
"22.04 10:55:00,652|" updateClient hat status: input: ClientId: <7602.97.0>, NNr: 0. 
"22.04 10:55:00,652|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,746|" getClientNNr hat status: input: ClientId: <7602.104.0>. 
"22.04 10:55:00,746|" getClient hat status: Client gefunden. 
"22.04 10:55:00,746|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,746|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,746|" getClientNNr hat status: ClientIsValid: {<7602.104.0>,{1492,851295,489000},577}. 
"22.04 10:55:00,746|" getClientNNr hat status: ExpectedNNR Result: 578. 
"22.04 10:55:00,762|" updateClient hat status: input: ClientId: <7602.104.0>, NNr: 0. 
"22.04 10:55:00,762|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:00,808|" getClientNNr hat status: input: ClientId: <7602.92.0>. 
"22.04 10:55:00,808|" getClient hat status: Client gefunden. 
"22.04 10:55:00,808|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:00,808|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:00,808|" getClientNNr hat status: ClientIsValid: {<7602.92.0>,{1492,851295,551000},577}. 
"22.04 10:55:00,808|" getClientNNr hat status: ExpectedNNR Result: 578. 
"22.04 10:55:01,089|" updateClient hat status: input: ClientId: <7602.92.0>, NNr: 0. 
"22.04 10:55:01,089|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:01,089|" getClientNNr hat status: input: ClientId: <7602.93.0>. 
"22.04 10:55:01,089|" getClient hat status: Client gefunden. 
"22.04 10:55:01,089|" clientIsValid hat status: input: ClientSecs: 851295, RemTime: 4000. 
"22.04 10:55:01,089|" clientIsValid hat status: ClientTS ist noch nicht ausgelaufen. 
"22.04 10:55:01,089|" getClientNNr hat status: ClientIsValid: {<7602.93.0>,{1492,851295,582000},577}. 
"22.04 10:55:01,089|" getClientNNr hat status: ExpectedNNR Result: 578. 
"22.04 10:55:01,105|" updateClient hat status: input: ClientId: <7602.93.0>, NNr: 0. 
"22.04 10:55:01,105|" updateClient_ hat status: ClientId gefunden. 
"22.04 10:55:01,120|" getClientNNr hat status: input: ClientId: <7602.108.0>. 
"22.04 10:55:01,120|" getClient hat status: Client gefunden. 
